product,city,product_revenue,city_revenue,pct_of_total_revenue
Tablet,Hyderabad,12672632948,15185274325,3.300000000000000
Tablet,Chennai,12672632948,15140362097,3.300000000000000
Tablet,Delhi,12672632948,15134481442,3.300000000000000
Tablet,Mumbai,12672632948,15127746228,3.300000000000000
Tablet,Bangalore,12672632948,15105658016,3.300000000000000
TV,Hyderabad,12622979940,15185274325,3.300000000000000
TV,Chennai,12622979940,15140362097,3.300000000000000
TV,Delhi,12622979940,15134481442,3.300000000000000
TV,Mumbai,12622979940,15127746228,3.300000000000000
TV,Bangalore,12622979940,15105658016,3.300000000000000
Laptop,Hyderabad,12603686801,15185274325,3.300000000000000
Laptop,Chennai,12603686801,15140362097,3.300000000000000
Laptop,Delhi,12603686801,15134481442,3.300000000000000
Laptop,Mumbai,12603686801,15127746228,3.300000000000000
Laptop,Bangalore,12603686801,15105658016,3.300000000000000
Camera,Hyderabad,12603011285,15185274325,3.300000000000000
Camera,Chennai,12603011285,15140362097,3.300000000000000
Camera,Delhi,12603011285,15134481442,3.300000000000000
Camera,Mumbai,12603011285,15127746228,3.300000000000000
Camera,Bangalore,12603011285,15105658016,3.300000000000000
Mobile,Hyderabad,12596698864,15185274325,3.300000000000000
Mobile,Chennai,12596698864,15140362097,3.300000000000000
Mobile,Delhi,12596698864,15134481442,3.300000000000000
Mobile,Mumbai,12596698864,15127746228,3.300000000000000
Mobile,Bangalore,12596698864,15105658016,3.300000000000000
Headphones,Hyderabad,12594512270,15185274325,3.300000000000000
Headphones,Chennai,12594512270,15140362097,3.300000000000000
Headphones,Delhi,12594512270,15134481442,3.300000000000000
Headphones,Mumbai,12594512270,15127746228,3.300000000000000
Headphones,Bangalore,12594512270,15105658016,3.300000000000000
